SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,122 Riverway Apt 19,Boston,MA,02215,400000,1,1.0,,393,,1915,,1018,,,,,http://www.redfin.com/MA/Boston/122-Riverway-02215/unit-19/home/9262014,,,N,Y,42.3431098,-71.1043739
PAST SALE,June-1-2018,Condo/Co-op,116 Riverway #12,Boston,MA,02215,573000,1,1.0,The Fenway,586,586,1915,65,978,335,Sold,,,http://www.redfin.com/MA/Boston/116-Riverway-02215/unit-12/home/9262170,MLS PIN,72303524,N,Y,42.3431514,-71.1043046
PAST SALE,June-15-2018,Condo/Co-op,922 Beacon St #12,Boston,MA,02215,460000,0,1.0,Boston,486,,1887,51,947,307,Sold,,,http://www.redfin.com/MA/Boston/922-Beacon-St-02215/unit-12/home/9251135,MLS PIN,72337952,N,Y,42.3465748,-71.1065689
PAST SALE,May-18-2018,Condo/Co-op,120 Mountfort St #303,Boston,MA,02215,880000,2,2.0,Boston,1017,1017,2005,79,865,480,Sold,,,http://www.redfin.com/MA/Boston/120-Mountfort-St-02215/unit-303/home/11838768,MLS PIN,72299349,N,Y,42.3482817,-71.1065784
PAST SALE,May-31-2018,Condo/Co-op,534-538 Commonwealth Ave Unit 2A,Boston,MA,02215,799000,2,2.0,Kenmore Square,826,,1910,66,967,397,Sold,,,http://www.redfin.com/MA/Boston/534-Commonwealth-Ave-02215/unit-2A/home/9319987,MLS PIN,72311423,N,Y,42.3484521,-71.0965469
PAST SALE,June-22-2018,Condo/Co-op,188 Brookline Ave Unit 25I,Boston,MA,02215,1039640,1,1.0,The Fenway,658,,2018,44,1580,590,Sold,,,http://www.redfin.com/MA/Boston/188-Brookline-Ave-02215/unit-25I/home/145553072,MLS PIN,72320230,N,Y,42.3437734,-71.1017218
PAST SALE,May-31-2018,Condo/Co-op,125 Park Dr #29,Boston,MA,02215,410000,0,1.0,The Fenway,335,,1910,66,1224,205,Sold,,,http://www.redfin.com/MA/Boston/125-Park-Dr-02215/unit-29/home/9241252,MLS PIN,72310540,N,Y,42.3418555,-71.0978955
PAST SALE,June-20-2018,Single Family Residential,334-336 Bunker Hl,Boston,MA,02129,450000,3,1.0,Charlestown,1421,1050,1845,46,317,,Sold,,,http://www.redfin.com/MA/Boston/334-Medford-St-02129/home/146085048,MLS PIN,72136440,N,Y,42.3813991,-71.0634364
PAST SALE,June-26-2018,Townhouse,25 N Mead St #25,Boston,MA,02129,756000,2,1.5,Charlestown,1219,1219,1988,40,620,512,Sold,,,http://www.redfin.com/MA/Boston/25-N-Mead-St-02129/unit-25/home/113246286,MLS PIN,72311716,N,Y,42.3822082,-71.0660461
PAST SALE,June-28-2018,Condo/Co-op,342 Bunker Hill St Unit 3E,Boston,MA,02129,1050000,2,2.5,Charlestown,1432,,1889,38,733,573,Sold,,,http://www.redfin.com/MA/Boston/342-Bunker-Hill-St-02129/unit-3E/home/145552289,MLS PIN,72319931,N,Y,42.3813283,-71.06793
PAST SALE,July-5-2018,Single Family Residential,60 Cook St,Boston,MA,02129,685000,4,1.5,Charlestown,1386,2003,1980,31,494,,Sold,,,http://www.redfin.com/MA/Boston/60-Cook-St-02129/home/113981037,MLS PIN,72288079,N,Y,42.381352,-71.0636809
PAST SALE,June-15-2018,Single Family Residential,39 Belmont St,Boston,MA,02129,1304000,3,3.5,Charlestown,3976,1950,2008,51,328,,Sold,,,http://www.redfin.com/MA/Charlestown/39-Belmont-St-02129/home/9055373,MLS PIN,72290989,N,Y,42.3815701,-71.0649471
PAST SALE,,Townhouse,25 N Mead St,Boston,MA,02129,756000,2,1.0,,1219,1219,1988,,620,,,,,http://www.redfin.com/MA/Boston/25-N-Mead-St-02129/home/9048111,,,N,Y,42.3822082,-71.0660461
PAST SALE,,Condo/Co-op,68 Baldwin St Apt 22,Boston,MA,02129,729000,2,1.5,,1063,,1890,,686,,,,,http://www.redfin.com/MA/Boston/68-Baldwin-St-02129/unit-22/home/9047772,,,N,Y,42.3823567,-71.0704809
PAST SALE,June-13-2018,Condo/Co-op,340 Medford St #2,Boston,MA,02129,965000,3,2.0,Charlestown,1717,,2002,53,562,250,Sold,,,http://www.redfin.com/MA/Boston/340-Medford-St-02129/unit-2/home/9324504,MLS PIN,72319923,N,Y,42.3814918,-71.063798
PAST SALE,May-10-2018,Townhouse,6 Woods Pl #2,Boston,MA,02129,1325000,3,2.5,Charlestown,2400,,2006,87,552,200,Sold,,,http://www.redfin.com/MA/Boston/6-Woods-Pl-02129/unit-2/home/21621750,MLS PIN,72296815,N,Y,42.3820308,-71.066974
PAST SALE,,Single Family Residential,330 Medford St,Boston,MA,02129,685000,4,1.5,,1386,2003,1980,,494,,,,,http://www.redfin.com/MA/Boston/330-Medford-St-02129/home/9048261,,,N,Y,42.3813636,-71.063352
PAST SALE,May-9-2018,Single Family Residential,35 Vershire St,Boston,MA,02132,480000,4,2.0,West Roxbury's Bellevue Hill,1580,4163,1961,88,304,,Sold,,,http://www.redfin.com/MA/West-Roxbury/35-Vershire-St-02132/home/9215242,MLS PIN,72310223,N,Y,42.2715368,-71.1472421
PAST SALE,July-9-2018,Multi-Family (2-4 Unit),5001 Washington,Boston,MA,02132,665000,5,2.0,Boston,2400,5000,1920,27,277,,Sold,,,http://www.redfin.com/MA/West-Roxbury/5001-Washington-St-02132/home/9218741,MLS PIN,72313050,N,Y,42.2666996,-71.1516053
PAST SALE,May-25-2018,Condo/Co-op,99 Chestnut Hill Ave #310,Boston,MA,02135,569000,1,1.0,Brighton,906,906,1924,72,628,332,Sold,,,http://www.redfin.com/MA/Boston/99-Chestnut-Hill-Ave-02135/unit-310/home/145344716,MLS PIN,72310474,N,Y,42.3441835,-71.1538565
PAST SALE,,Condo/Co-op,24 Ransom Rd Unit 24-5,Boston,MA,02135,485000,2,1.0,,734,,1930,,661,,,,,http://www.redfin.com/MA/Boston/24-Ransom-Rd-02135/unit-24-5/home/9003940,,,N,Y,42.3430223,-71.1451281
PAST SALE,June-15-2018,Condo/Co-op,12 Ransom Rd #12,Boston,MA,02135,372000,1,1.0,Brighton,598,,1930,51,622,338,Sold,,,http://www.redfin.com/MA/Boston/12-Ransom-Rd-02135/unit-12/home/113235282,MLS PIN,72299868,N,Y,42.3434399,-71.1444521
PAST SALE,June-14-2018,Condo/Co-op,1650 Commonwealth #602,Boston,MA,02135,690000,1,1.0,Brighton,683,,2017,52,1010,470,Sold,,,http://www.redfin.com/MA/Boston/1650-Commonwealth-Ave-02135/unit-602/home/145580088,MLS PIN,72322285,N,Y,42.3420885,-71.1440254
PAST SALE,June-19-2018,Condo/Co-op,1650 Commonwealth #205,Boston,MA,02135,835000,2,2.0,Brighton,962,,2017,47,868,591,Sold,,,http://www.redfin.com/MA/Boston/1650-Commonwealth-Ave-02135/unit-205/home/144392837,MLS PIN,72251427,N,Y,42.3418247,-71.1436113
PAST SALE,June-7-2018,Multi-Family (2-4 Unit),84 Euston Rd,Boston,MA,02135,1380000,9,5.0,Brighton,3252,6210,1920,59,424,,Sold,,,http://www.redfin.com/MA/Brighton/84-Euston-Rd-02135/home/9009160,MLS PIN,72309167,N,Y,42.34407,-71.1454318
PAST SALE,June-12-2018,Condo/Co-op,2039 Commonwealth Ave #3,Boston,MA,02135,398000,1,1.0,Brighton,585,,1920,54,680,315,Sold,,,http://www.redfin.com/MA/Boston/2039-Commonwealth-Ave-02135/unit-3/home/9039128,MLS PIN,72313569,N,Y,42.3403218,-71.1599835
