SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,228 Allandale Rd Unit 3B,Boston,MA,02467,999000,2,2.5,West Roxbury's Chestnut Hill,2913,2913,1989,304,343,1905,Active,,,http://www.redfin.com/MA/Chestnut-Hill/228-Allandale-Rd-02467/unit-3B/home/9300115,MLS PIN,72238876,N,Y,42.3015826,-71.1392506
MLS Listing,,Condo/Co-op,300 Boylston #1202,Boston,MA,02116,7450000,3,3.5,Back Bay,2426,,1987,307,3071,3721,Active,,,http://www.redfin.com/MA/Boston/300-Boylston-St-02116/unit-1202/home/9236000,MLS PIN,72236871,N,Y,42.3517181,-71.0698816
MLS Listing,,Multi-Family (2-4 Unit),37 Melville Ave,Boston,MA,02124,980000,6,3.0,Dorchester's Ashmont,3056,11423,1900,309,321,,Active,,,http://www.redfin.com/MA/Boston/37-Melville-Ave-02124/home/11504945,MLS PIN,72236526,N,Y,42.2943569,-71.0671175
MLS Listing,,Condo/Co-op,49 Mount Vernon St #2,Boston,MA,02108,7775000,3,3.5,Beacon Hill,4617,,1900,317,1684,,Active,,,http://www.redfin.com/MA/Boston/49-Mount-Vernon-St-02108/unit-2/home/143857448,MLS PIN,72233070,N,Y,42.3584945,-71.065572
MLS Listing,,Single Family Residential,54 Burroughs St Unit CH,Boston,MA,02130,2295000,4,3.5,Jamaica Plain,4783,4783,1899,318,480,,Active,,,http://www.redfin.com/MA/Boston/54-Burroughs-St-02130/unit-CH/home/52963534,MLS PIN,72232060,N,Y,42.3136151,-71.1179408
MLS Listing,,Condo/Co-op,1 Charles St S Unit 11E,Boston,MA,02116,2725000,3,3.0,Back Bay,1874,1874,2004,326,1454,2389,Active,,,http://www.redfin.com/MA/Boston/1-Charles-St-S-02116/unit-11E/home/9329430,MLS PIN,72227933,N,Y,42.3511397,-71.0671978
MLS Listing,,Single Family Residential,5 Strong Pl,Boston,MA,02114,1495000,3,2.0,Beacon Hill,1066,660,1890,330,1402,,Active,,,http://www.redfin.com/MA/Boston/5-Strong-Pl-02114/home/9257470,MLS PIN,72226083,N,Y,42.3606508,-71.0681556
MLS Listing,,Condo/Co-op,1 Franklin St #3702,Boston,MA,02110,2850000,2,2.0,Midtown,1486,,2016,332,1918,1708,Active,,,http://www.redfin.com/MA/Boston/1-Franklin-St-02108/unit-3702/home/67369679,MLS PIN,72225383,N,Y,42.35631,-71.05945
MLS Listing,,Parking,"144 Charles Street, Unit 2-13",Boston,MA,02114,350000,,,Beacon Hill,,,,333,,,Active,,,http://www.redfin.com/MA/Boston/144-Charles-St-02114/unit-2-13/home/143706341,MLS PIN,72224183,N,Y,42.3600018,-71.071042
MLS Listing,,Single Family Residential,77 Chestnut St,Boston,MA,02108,8995000,4,4.5,Beacon Hill,6550,1496,1899,334,1373,,Active,,,http://www.redfin.com/MA/Boston/77-Chestnut-St-02108/home/9254547,MLS PIN,72223073,N,Y,42.3569083,-71.0710938
MLS Listing,,Condo/Co-op,20 Taft Hill Park Unit 5B,Boston,MA,02131,477000,1,1.5,Roslindale,744,,2017,334,641,,Active,,,http://www.redfin.com/MA/Boston/20-Taft-Hill-Park-02131/unit-5B/home/143669026,MLS PIN,72222849,N,Y,42.2879386,-71.1286184
MLS Listing,,Condo/Co-op,80 Commonwealth Ave Unit Three,Boston,MA,02116,7800000,4,4.0,Back Bay,3560,,1872,355,2191,9999,Active,,,http://www.redfin.com/MA/Boston/80-Commonwealth-Ave-02116/unit-Three/home/143295908,MLS PIN,72213964,N,Y,42.3522126,-71.0752917
MLS Listing,,Condo/Co-op,80 Commonwealth Ave Unit One,Boston,MA,02116,3300000,2,2.5,Back Bay,2360,,1872,355,1398,9999,Active,,,http://www.redfin.com/MA/Boston/80-Commonwealth-Ave-02116/unit-One/home/143295850,MLS PIN,72213941,N,Y,42.3522126,-71.0752917
